ClientID,Status,Last_Visit,Total_Spend,Visits,Avg_Basket,Feedback,Sentiment,Preferred_Channel
1032,Active,2025-10-02,2933.5,30,1026.33,Great bakery,Positive,SMS
1033,Active,2025-11-22,9235.89,4,1624.3,Fresh veggies,Positive,Email
1034,Active,2025-10-06,8961.73,32,1131.17,Fresh veggies,Positive,WhatsApp
1035,Active,2025-12-07,2096.16,18,1887.93,Good parking,Positive,WhatsApp
1036,Active,2025-11-28,1742.72,28,868.35,Helpful staff,Positive,Email
1037,Active,2025-10-22,9249.19,8,620.99,Great bakery,Positive,WhatsApp
1038,Churned,2026-01-06,2508.7,16,574.51,Cashier rude,Negative,Email
1039,Active,2025-11-26,9329.41,47,1476.5,Fresh veggies,Positive,WhatsApp
1040,Active,2025-09-29,5084.26,33,1190.03,Great bakery,Positive,WhatsApp
1041,Active,2025-10-07,6417.21,3,922.28,Good parking,Positive,WhatsApp
1042,Active,2025-10-22,7083.25,19,1519.05,Good parking,Positive,Email
1043,Churned,2025-12-02,4621.69,5,382.29,Cashier rude,Negative,SMS
1044,Active,2025-12-28,6199.36,17,1606.06,Great bakery,Positive,WhatsApp
1045,Active,2025-11-18,2989.65,28,435.6,Fresh veggies,Positive,SMS
1046,Active,2025-12-02,1527.72,46,180.13,Good parking,Positive,Email
1047,Active,2025-12-19,1894.5,18,697.49,Good parking,Positive,SMS
1048,Active,2025-09-14,2010.53,11,1788.88,Fresh veggies,Positive,WhatsApp
1049,Active,2025-11-13,7998.74,37,470.62,Helpful staff,Positive,WhatsApp
1050,Active,2025-10-16,4198.42,12,1750.78,Good parking,Positive,Email
1051,Active,2025-10-05,7484.27,25,1770.34,Great bakery,Positive,SMS
1052,Active,2025-10-15,5633.09,8,835.5,Fresh veggies,Positive,WhatsApp
1053,Active,2025-09-10,8933.49,43,1681.61,Great bakery,Positive,Email
1054,Active,2025-11-24,9543.69,21,1639.38,Good parking,Positive,Email
1055,Active,2025-12-15,2119.1,45,1911.92,Great bakery,Positive,SMS
1056,Active,2025-12-28,5520.35,36,1297.9,Helpful staff,Positive,SMS
1057,Churned,2025-11-12,4212.4,35,1498.24,Prices high,Negative,SMS
1058,Active,2025-10-24,6091.39,45,178.19,Fresh veggies,Positive,WhatsApp
1059,Active,2025-11-08,6585.25,23,1218.53,Good parking,Positive,Email
1060,Active,2025-09-14,5001.74,4,225.39,Fresh veggies,Positive,Email
1061,Active,2025-10-09,2274.42,45,1499.94,Fresh veggies,Positive,Email
1062,Active,2025-11-12,1806.43,36,1634.4,Good parking,Positive,Email
1063,Churned,2025-09-30,5191.65,50,213.3,Cashier rude,Negative,WhatsApp
1064,Churned,2025-10-29,6291.98,50,407.03,Prices high,Negative,SMS
1065,Active,2025-11-30,7850.58,38,376.58,Helpful staff,Positive,Email
1066,Active,2025-12-16,3736.53,43,196.41,Helpful staff,Positive,WhatsApp
1067,Churned,2025-10-20,6111.14,37,650.79,App crashing,Negative,Email
1068,Active,2025-09-30,1197.72,26,1787.11,Fresh veggies,Positive,SMS
1069,Active,2025-12-21,7019.66,38,577.45,Great bakery,Positive,SMS
1070,Active,2025-12-12,8036.35,48,218.06,Helpful staff,Positive,Email
1071,Active,2025-10-31,3750.85,35,945.8,Fresh veggies,Positive,Email
1072,Active,2025-09-19,2862.72,50,1045.42,Helpful staff,Positive,WhatsApp
1073,Active,2025-09-25,3785.65,7,1634.94,Great bakery,Positive,SMS
1074,Active,2025-11-12,4413.96,28,140.49,Great bakery,Positive,WhatsApp
1075,Active,2025-09-14,2674.11,6,804.34,Fresh veggies,Positive,Email
1076,Active,2025-09-25,7496.36,10,171.19,Great bakery,Positive,SMS
1077,Churned,2025-11-07,7251.21,47,1543.82,Prices high,Negative,WhatsApp
1078,Churned,2025-09-17,9065.35,18,187.19,Found bug in rice,Negative,SMS
1079,Active,2025-10-19,4165.61,1,877.76,Great bakery,Positive,Email
1080,Churned,2025-12-31,8507.05,5,502.86,Cashier rude,Negative,SMS
1081,Active,2025-11-07,8993.07,40,1675.64,Good parking,Positive,WhatsApp
1082,Active,2025-12-26,5655.76,47,1854.17,Great bakery,Positive,WhatsApp
1083,Active,2025-09-28,5723.79,32,1389.73,Great bakery,Positive,WhatsApp
1084,Active,2025-10-12,8500.73,2,1759.46,Helpful staff,Positive,Email
1085,Active,2025-12-12,1486.8,41,543.43,Good parking,Positive,SMS
1086,Active,2025-09-26,1437.99,43,1967.12,Good parking,Positive,SMS
1087,Churned,2025-12-07,4841.45,4,1066.83,Cashier rude,Negative,WhatsApp
1088,Churned,2025-10-18,1444.38,13,1292.27,Cashier rude,Negative,SMS
1089,Active,2025-11-10,2960.7,19,400.82,Fresh veggies,Positive,WhatsApp
1090,Active,2025-11-18,7990.64,11,1018.79,Good parking,Positive,Email
1091,Churned,2025-09-15,7381.43,8,525.31,App crashing,Negative,Email
1092,Active,2025-12-18,9217.67,34,1737.57,Helpful staff,Positive,Email
1093,Active,2025-09-28,8669.83,50,1830.1,Helpful staff,Positive,Email
1094,Active,2025-12-07,8900.76,50,1591.84,Great bakery,Positive,WhatsApp
1095,Churned,2025-12-11,9137.29,16,409.89,Cashier rude,Negative,SMS
1096,Active,2025-12-31,6656.69,36,837.57,Good parking,Positive,SMS
1097,Active,2025-10-11,2653.28,11,414.55,Good parking,Positive,SMS
1098,Active,2025-10-27,5613.43,16,307.7,Good parking,Positive,SMS
1099,Active,2025-09-11,3042.58,41,1683.38,Good parking,Positive,WhatsApp
1100,Active,2025-12-28,8800.98,4,730.17,Great bakery,Positive,Email
1101,Active,2025-11-07,2925.04,23,1297.02,Good parking,Positive,WhatsApp
1102,Active,2026-01-05,1454.2,48,781.3,Helpful staff,Positive,WhatsApp
1103,Active,2025-09-20,8577.93,38,979.79,Great bakery,Positive,WhatsApp
1104,Active,2025-09-11,2267.28,44,1887.63,Great bakery,Positive,Email
1105,Active,2025-10-19,4727.85,45,1308.33,Fresh veggies,Positive,SMS
1106,Churned,2025-11-26,8487.49,45,880.28,Found bug in rice,Negative,WhatsApp
1107,Active,2025-10-25,2335.82,8,1240.13,Great bakery,Positive,SMS
1108,Active,2026-01-02,5025.2,1,172.0,Helpful staff,Positive,WhatsApp
1109,Active,2025-12-06,2087.84,14,845.08,Good parking,Positive,WhatsApp
1110,Active,2025-12-09,7441.54,46,794.27,Good parking,Positive,SMS
1111,Active,2025-10-07,9825.1,18,1883.13,Good parking,Positive,WhatsApp
1112,Active,2025-12-06,8785.78,23,1279.92,Good parking,Positive,WhatsApp
1113,Active,2025-12-01,7185.07,50,502.86,Great bakery,Positive,SMS
1114,Active,2025-11-23,6314.09,23,1443.06,Great bakery,Positive,WhatsApp
1115,Active,2025-10-18,1342.99,43,1887.2,Great bakery,Positive,WhatsApp
1116,Churned,2025-11-08,4625.15,15,1930.44,Milk expired,Negative,Email
1117,Active,2025-11-15,7410.48,35,1589.83,Helpful staff,Positive,SMS
1118,Active,2025-10-18,4442.81,16,698.56,Fresh veggies,Positive,Email
1119,Active,2025-10-18,7419.83,6,1218.22,Fresh veggies,Positive,SMS
1120,Churned,2025-11-16,7297.74,29,1533.4,Milk expired,Negative,SMS
1121,Active,2025-11-11,6702.96,25,558.05,Good parking,Positive,Email
1122,Active,2025-09-24,5033.13,4,852.35,Helpful staff,Positive,Email
1123,Churned,2025-12-05,8578.51,25,360.05,App crashing,Negative,Email
1124,Active,2025-09-29,9063.59,25,1296.23,Helpful staff,Positive,SMS
1125,Active,2025-10-29,8748.16,23,243.4,Great bakery,Positive,SMS
1126,Active,2025-12-31,6023.81,3,408.44,Great bakery,Positive,WhatsApp
1127,Active,2025-12-12,3158.32,5,635.91,Helpful staff,Positive,Email
1128,Active,2025-11-13,9453.88,12,299.18,Great bakery,Positive,Email
1129,Active,2025-10-11,6745.14,7,1760.31,Fresh veggies,Positive,Email
1130,Active,2025-10-07,2501.43,20,1052.6,Good parking,Positive,SMS
1131,Churned,2025-12-17,3602.87,30,1239.42,Cashier rude,Negative,SMS
1132,Active,2025-11-22,3164.28,28,1051.86,Great bakery,Positive,WhatsApp
1133,Active,2025-11-29,5960.66,36,1962.65,Good parking,Positive,SMS
1134,Churned,2025-10-03,2525.44,11,556.75,Prices high,Negative,SMS
1135,Active,2025-09-12,5776.83,19,806.52,Helpful staff,Positive,SMS
1136,Active,2025-10-18,3287.39,20,573.24,Good parking,Positive,SMS
1137,Active,2025-12-11,6489.64,5,623.93,Helpful staff,Positive,Email
1138,Active,2025-09-19,1127.9,39,1921.68,Helpful staff,Positive,WhatsApp
1139,Active,2025-11-04,6744.53,36,393.33,Fresh veggies,Positive,SMS
1140,Active,2025-09-16,9917.18,29,1446.13,Good parking,Positive,SMS
1141,Active,2025-10-13,3837.17,47,1341.99,Fresh veggies,Positive,SMS
1142,Active,2025-12-27,4506.44,42,530.61,Fresh veggies,Positive,Email
1143,Active,2025-12-09,2710.7,13,1490.62,Good parking,Positive,Email
1144,Churned,2025-12-17,8078.92,46,1755.26,Milk expired,Negative,Email
1145,Active,2025-09-25,3034.75,3,1907.95,Great bakery,Positive,Email
1146,Churned,2025-11-21,6748.25,50,523.16,Milk expired,Negative,Email
1147,Active,2025-10-26,6201.64,41,945.48,Great bakery,Positive,WhatsApp
1148,Active,2025-09-30,4311.95,24,627.88,Fresh veggies,Positive,WhatsApp
1149,Active,2025-09-18,1562.77,43,1555.3,Helpful staff,Positive,WhatsApp
1150,Active,2025-11-14,4208.84,26,475.44,Helpful staff,Positive,SMS
1151,Active,2025-12-11,4676.33,38,1074.54,Great bakery,Positive,WhatsApp
1152,Active,2026-01-01,2600.13,5,724.88,Fresh veggies,Positive,Email
1153,Active,2026-01-07,1970.65,13,204.77,Good parking,Positive,SMS
1154,Active,2025-11-18,3158.09,2,801.91,Good parking,Positive,WhatsApp
1155,Active,2025-11-01,1002.14,17,1255.78,Helpful staff,Positive,WhatsApp
1156,Active,2025-12-02,5394.53,30,1133.96,Fresh veggies,Positive,Email
1157,Active,2026-01-01,5289.71,41,1192.68,Great bakery,Positive,WhatsApp
1158,Active,2026-01-07,4656.36,31,1584.65,Good parking,Positive,WhatsApp
1159,Active,2025-09-23,5802.52,45,232.93,Fresh veggies,Positive,SMS
1160,Active,2025-11-10,5539.83,12,371.82,Fresh veggies,Positive,Email
1161,Active,2025-10-27,7763.8,27,1289.19,Helpful staff,Positive,Email
1162,Active,2025-11-23,7481.42,27,1155.61,Fresh veggies,Positive,WhatsApp
1163,Active,2025-10-29,3026.8,28,1690.1,Fresh veggies,Positive,SMS
1164,Active,2025-11-12,3207.65,23,1986.94,Great bakery,Positive,WhatsApp
1165,Churned,2025-10-11,6503.25,30,244.27,Cashier rude,Negative,Email
1166,Active,2026-01-02,3608.18,43,250.19,Fresh veggies,Positive,SMS
1167,Churned,2025-11-15,3324.71,10,1633.23,Cashier rude,Negative,SMS
1168,Churned,2025-10-23,2709.98,4,196.88,Milk expired,Negative,SMS
1169,Active,2025-10-29,4328.48,17,1653.58,Great bakery,Positive,Email
1170,Active,2025-12-01,7616.82,21,918.53,Helpful staff,Positive,WhatsApp
1171,Active,2025-10-20,1379.34,31,1185.0,Fresh veggies,Positive,SMS
1172,Active,2025-12-09,7977.58,31,425.66,Fresh veggies,Positive,SMS
1173,Active,2025-11-11,9141.32,16,229.89,Fresh veggies,Positive,WhatsApp
1174,Active,2025-11-30,8230.14,4,1384.51,Good parking,Positive,SMS
1175,Churned,2025-10-01,9850.74,25,823.12,Found bug in rice,Negative,WhatsApp
1176,Active,2025-10-06,3255.56,20,1474.02,Great bakery,Positive,SMS
1177,Active,2025-09-24,620.8,21,303.97,Great bakery,Positive,WhatsApp
1178,Active,2025-12-31,5517.64,16,1890.9,Helpful staff,Positive,SMS
1179,Active,2025-11-06,6089.56,44,1537.94,Fresh veggies,Positive,WhatsApp
1180,Churned,2025-11-30,5047.4,17,429.56,Prices high,Negative,SMS
1181,Active,2025-10-04,1571.41,29,1908.23,Helpful staff,Positive,Email
1182,Churned,2025-11-19,2063.3,43,733.12,Prices high,Negative,WhatsApp
1183,Active,2025-12-23,7387.24,13,1925.96,Great bakery,Positive,WhatsApp
1184,Active,2026-01-07,2908.34,16,726.8,Great bakery,Positive,WhatsApp
1185,Active,2025-09-29,1461.59,15,1256.95,Fresh veggies,Positive,SMS
1186,Churned,2025-11-06,5717.79,22,567.44,Found bug in rice,Negative,SMS
1187,Active,2025-12-10,5406.72,8,663.92,Fresh veggies,Positive,SMS
1188,Active,2025-12-14,2043.72,7,607.19,Good parking,Positive,Email
1189,Active,2025-11-21,9886.59,31,867.5,Fresh veggies,Positive,SMS
1190,Active,2025-09-10,2475.05,37,753.87,Great bakery,Positive,WhatsApp
1191,Active,2025-11-22,6126.01,13,1643.12,Great bakery,Positive,WhatsApp
1192,Active,2025-10-04,8224.57,30,193.18,Great bakery,Positive,Email
1193,Active,2025-09-20,740.05,49,219.53,Helpful staff,Positive,WhatsApp
1194,Active,2025-10-29,3831.66,31,447.72,Fresh veggies,Positive,WhatsApp
1195,Active,2025-10-21,9936.87,42,932.55,Good parking,Positive,SMS
1196,Active,2025-10-03,4245.89,42,1975.78,Good parking,Positive,SMS
1197,Churned,2025-10-01,7475.62,16,1799.98,Found bug in rice,Negative,WhatsApp
1198,Active,2025-10-31,1733.74,6,1070.77,Fresh veggies,Positive,WhatsApp
1199,Active,2025-10-09,5953.11,38,267.51,Good parking,Positive,SMS
1200,Active,2026-01-06,1819.59,6,553.29,Good parking,Positive,SMS
1201,Active,2025-10-15,508.44,4,1125.09,Good parking,Positive,WhatsApp
1202,Active,2025-10-29,2220.03,19,1347.74,Great bakery,Positive,WhatsApp
1203,Churned,2025-12-13,2466.88,49,1131.46,App crashing,Negative,SMS
1204,Active,2026-01-04,2417.88,45,1990.22,Fresh veggies,Positive,Email
1205,Churned,2025-10-22,7754.7,12,1312.63,Milk expired,Negative,Email
1206,Active,2025-12-23,9684.94,18,579.02,Fresh veggies,Positive,Email
1207,Active,2025-12-22,5784.63,31,1335.01,Helpful staff,Positive,SMS
1208,Active,2026-01-03,1915.01,3,1993.13,Great bakery,Positive,WhatsApp
1209,Active,2025-11-14,5045.93,47,1490.1,Great bakery,Positive,WhatsApp
1210,Churned,2025-12-01,7058.55,12,1409.83,Prices high,Negative,Email
1211,Active,2025-12-03,9368.58,39,1898.41,Fresh veggies,Positive,Email
1212,Active,2025-10-30,4093.17,18,1085.27,Fresh veggies,Positive,SMS
1213,Churned,2026-01-01,9817.94,7,1493.3,Prices high,Negative,WhatsApp
1214,Active,2025-10-01,6273.35,32,1542.37,Great bakery,Positive,Email
1215,Active,2025-10-20,4735.81,46,1624.56,Great bakery,Positive,WhatsApp
1216,Active,2025-10-31,6792.44,5,1098.63,Good parking,Positive,WhatsApp
1217,Active,2025-10-04,4527.32,36,1684.97,Good parking,Positive,SMS
1218,Active,2025-10-25,697.31,50,773.27,Fresh veggies,Positive,SMS
1219,Active,2025-11-04,9713.54,3,680.26,Helpful staff,Positive,SMS
1220,Active,2025-09-11,3112.01,13,218.06,Helpful staff,Positive,Email
1221,Active,2025-09-10,1120.74,17,798.77,Fresh veggies,Positive,WhatsApp
1222,Active,2025-12-28,2211.08,13,1819.84,Helpful staff,Positive,WhatsApp
1223,Churned,2026-01-01,6553.75,14,579.31,Found bug in rice,Negative,Email
1224,Active,2025-11-25,6595.73,24,1458.82,Fresh veggies,Positive,WhatsApp
1225,Active,2025-10-31,9308.07,34,923.19,Fresh veggies,Positive,Email
1226,Churned,2025-10-06,5808.23,39,1687.72,Prices high,Negative,Email
1227,Active,2025-11-23,2149.17,22,1254.71,Helpful staff,Positive,WhatsApp
1228,Active,2025-10-24,2180.21,33,322.13,Great bakery,Positive,WhatsApp
1229,Active,2025-11-25,3981.11,5,1811.35,Good parking,Positive,WhatsApp
1230,Active,2025-10-31,4897.26,28,596.82,Fresh veggies,Positive,SMS
1231,Active,2025-12-19,7623.99,26,1207.03,Great bakery,Positive,SMS
1232,Active,2025-12-26,1168.27,50,1346.8,Great bakery,Positive,SMS
1233,Churned,2025-11-01,7938.45,11,1207.46,Milk expired,Negative,WhatsApp
1234,Active,2025-09-29,8365.45,43,850.88,Good parking,Positive,Email
1235,Active,2025-12-28,6743.72,37,1327.38,Fresh veggies,Positive,Email
1236,Active,2025-11-16,854.9,19,899.79,Helpful staff,Positive,WhatsApp
1237,Active,2025-09-12,2648.81,29,720.44,Great bakery,Positive,Email
1238,Active,2025-11-22,2465.39,38,1301.24,Helpful staff,Positive,WhatsApp
1239,Active,2025-12-12,1732.25,29,1170.58,Helpful staff,Positive,Email
1240,Active,2025-10-11,3872.05,16,1874.71,Fresh veggies,Positive,Email
1241,Active,2025-10-30,6679.03,12,515.77,Fresh veggies,Positive,Email
1242,Active,2025-10-06,2234.6,42,141.2,Fresh veggies,Positive,WhatsApp
1243,Active,2025-11-18,1917.86,11,215.44,Helpful staff,Positive,SMS
1244,Active,2025-09-17,3527.13,12,622.43,Great bakery,Positive,Email
1245,Churned,2025-12-27,4128.92,35,1398.76,Prices high,Negative,SMS
1246,Active,2025-12-20,1473.35,12,717.98,Fresh veggies,Positive,WhatsApp
1247,Active,2025-09-16,3930.22,2,105.85,Fresh veggies,Positive,Email
1248,Active,2025-12-08,8913.6,38,1960.04,Helpful staff,Positive,WhatsApp
1249,Active,2025-12-10,4270.42,12,1215.16,Great bakery,Positive,WhatsApp
1250,Active,2025-12-03,1093.04,28,827.21,Great bakery,Positive,WhatsApp
1251,Churned,2025-10-31,1637.95,37,385.84,Prices high,Negative,WhatsApp
1252,Active,2025-11-07,2897.19,13,956.37,Fresh veggies,Positive,WhatsApp
1253,Churned,2025-10-05,2257.14,37,1906.81,Prices high,Negative,Email
1254,Active,2026-01-07,7700.24,23,1156.31,Good parking,Positive,WhatsApp
1255,Active,2025-11-03,7651.43,36,1343.65,Good parking,Positive,WhatsApp
1256,Churned,2025-12-17,7658.6,4,1499.35,App crashing,Negative,Email
1257,Churned,2025-10-14,1106.0,12,1999.43,Milk expired,Negative,WhatsApp
1258,Active,2026-01-01,3895.54,15,920.7,Fresh veggies,Positive,WhatsApp
1259,Active,2025-09-24,2088.07,34,1014.92,Helpful staff,Positive,SMS
1260,Active,2025-12-09,7382.08,1,1449.01,Good parking,Positive,SMS
1261,Active,2026-01-05,1365.68,20,1363.32,Great bakery,Positive,SMS
1262,Churned,2025-12-10,9822.42,44,1170.09,Milk expired,Negative,WhatsApp
1263,Active,2025-11-26,6119.55,6,898.74,Fresh veggies,Positive,SMS
1264,Active,2025-12-01,6494.47,30,1847.28,Great bakery,Positive,WhatsApp
1265,Churned,2025-11-18,8609.6,39,1685.76,Prices high,Negative,SMS
1266,Active,2025-12-18,7530.97,1,1858.96,Good parking,Positive,SMS
1267,Churned,2026-01-05,2375.98,11,1117.64,Cashier rude,Negative,SMS
1268,Active,2026-01-03,6828.29,31,1893.63,Great bakery,Positive,WhatsApp
1269,Active,2025-11-20,2253.75,43,625.26,Great bakery,Positive,SMS
1270,Churned,2025-10-25,9319.27,36,1161.18,Prices high,Negative,SMS
1271,Active,2025-12-29,1412.26,41,1818.67,Great bakery,Positive,WhatsApp
1272,Active,2025-11-20,1282.84,43,1620.57,Helpful staff,Positive,SMS
1273,Active,2025-12-24,8078.0,16,373.84,Helpful staff,Positive,SMS
1274,Churned,2025-12-13,5004.49,25,610.15,Found bug in rice,Negative,Email
1275,Active,2025-12-29,6921.85,28,1847.84,Good parking,Positive,Email
1276,Active,2025-10-25,9838.63,14,1508.1,Helpful staff,Positive,SMS
1277,Active,2025-10-26,2705.45,11,528.56,Good parking,Positive,WhatsApp
1278,Active,2025-12-11,7429.54,44,1598.35,Good parking,Positive,WhatsApp
1279,Active,2025-10-08,1900.25,43,499.06,Fresh veggies,Positive,WhatsApp
1280,Active,2025-11-08,3979.91,44,809.19,Good parking,Positive,WhatsApp
1281,Active,2025-09-26,4608.11,24,628.93,Great bakery,Positive,Email
1282,Churned,2025-11-07,8558.95,37,1917.69,App crashing,Negative,Email
1283,Active,2025-09-12,6618.08,38,1583.39,Fresh veggies,Positive,SMS
1284,Active,2025-10-13,6149.9,22,286.4,Good parking,Positive,Email
1285,Active,2025-11-05,4729.93,34,1105.33,Great bakery,Positive,Email
1286,Active,2025-12-02,5067.57,8,1341.75,Good parking,Positive,SMS
1287,Active,2025-11-09,3196.49,35,1867.63,Great bakery,Positive,WhatsApp
1288,Active,2025-12-21,948.33,41,1807.67,Good parking,Positive,Email
1289,Active,2025-09-14,3217.93,2,1039.39,Good parking,Positive,WhatsApp
1290,Active,2025-10-24,3874.17,41,1038.24,Good parking,Positive,SMS
1291,Active,2025-11-29,1330.94,15,1480.29,Fresh veggies,Positive,WhatsApp
1292,Active,2025-09-27,5547.6,5,812.21,Helpful staff,Positive,Email
1293,Churned,2025-10-11,2093.58,21,1926.66,App crashing,Negative,Email
1294,Active,2025-10-15,5827.09,48,1854.06,Great bakery,Positive,WhatsApp
1295,Churned,2025-12-21,503.15,20,281.22,Prices high,Negative,SMS
1296,Active,2025-09-27,5111.17,27,1331.15,Helpful staff,Positive,WhatsApp
1297,Active,2025-11-06,1123.43,43,1208.65,Great bakery,Positive,WhatsApp
1298,Active,2025-10-01,8581.18,28,1939.94,Helpful staff,Positive,Email
1299,Active,2025-12-04,5357.1,2,1090.34,Fresh veggies,Positive,SMS
1300,Active,2025-10-09,5402.67,15,1319.88,Good parking,Positive,SMS
1301,Active,2025-12-22,4651.87,26,132.01,Fresh veggies,Positive,WhatsApp
1302,Active,2025-12-03,2767.67,31,895.82,Good parking,Positive,WhatsApp
1303,Churned,2025-11-04,7549.89,23,1164.5,App crashing,Negative,WhatsApp
1304,Active,2025-11-01,8497.25,35,1477.34,Helpful staff,Positive,WhatsApp
1305,Active,2025-11-03,8491.7,20,1845.38,Great bakery,Positive,SMS
1306,Active,2025-12-10,9980.89,3,1866.5,Good parking,Positive,WhatsApp
1307,Churned,2025-11-24,6070.12,31,1230.32,Milk expired,Negative,WhatsApp
1308,Active,2025-12-12,1614.77,40,791.56,Helpful staff,Positive,Email
1309,Active,2025-09-16,2153.01,17,1068.84,Fresh veggies,Positive,Email
1310,Active,2026-01-01,2269.22,9,1015.17,Good parking,Positive,WhatsApp
1311,Active,2025-10-28,5517.59,17,309.95,Fresh veggies,Positive,Email
1312,Churned,2025-11-23,3918.13,1,1267.34,App crashing,Negative,WhatsApp
1313,Churned,2025-10-02,4649.99,8,299.07,App crashing,Negative,Email
1314,Active,2026-01-06,4411.7,11,1588.52,Good parking,Positive,SMS
1315,Active,2025-11-21,7910.47,40,692.25,Fresh veggies,Positive,WhatsApp
1316,Active,2025-12-03,8003.53,4,1940.74,Good parking,Positive,WhatsApp
1317,Active,2025-10-15,5946.93,3,1699.86,Good parking,Positive,WhatsApp
1318,Active,2025-10-25,4947.62,35,1637.87,Helpful staff,Positive,WhatsApp
1319,Active,2025-09-30,4209.19,16,1802.39,Good parking,Positive,Email
1320,Active,2025-09-18,9890.4,41,1032.03,Fresh veggies,Positive,WhatsApp
1321,Churned,2025-12-17,2849.37,27,1467.66,Milk expired,Negative,SMS
1322,Active,2025-10-31,2577.52,49,902.98,Great bakery,Positive,Email
1323,Active,2025-12-01,2314.98,16,624.01,Fresh veggies,Positive,SMS
1324,Active,2025-11-19,8147.23,22,558.78,Helpful staff,Positive,Email
1325,Active,2025-12-24,9181.92,18,235.23,Fresh veggies,Positive,Email
1326,Active,2026-01-02,1197.37,16,1347.62,Good parking,Positive,WhatsApp
1327,Active,2025-09-20,676.59,37,856.21,Helpful staff,Positive,WhatsApp
1328,Active,2025-10-26,9125.62,30,460.95,Helpful staff,Positive,WhatsApp
1329,Active,2025-11-10,9372.03,7,1371.43,Fresh veggies,Positive,Email
1330,Active,2025-09-20,857.12,18,935.7,Helpful staff,Positive,WhatsApp
1331,Active,2025-12-22,2241.01,37,1948.96,Great bakery,Positive,SMS
1332,Active,2025-10-11,8148.65,33,824.36,Fresh veggies,Positive,SMS
1333,Active,2026-01-06,4222.19,2,305.2,Great bakery,Positive,WhatsApp
1334,Active,2025-09-26,4846.16,25,1010.87,Helpful staff,Positive,SMS
1335,Active,2025-12-16,4044.94,32,658.32,Good parking,Positive,WhatsApp
1336,Active,2025-12-18,5185.42,10,1977.86,Fresh veggies,Positive,WhatsApp
1337,Churned,2025-11-16,7070.82,23,1711.5,Prices high,Negative,Email
1338,Churned,2025-10-12,1872.79,36,1094.99,Found bug in rice,Negative,SMS
1339,Active,2025-12-19,3610.31,45,1860.76,Great bakery,Positive,SMS
1340,Active,2025-11-23,2164.89,32,849.87,Great bakery,Positive,SMS
1341,Churned,2025-12-12,9128.42,27,1073.7,Prices high,Negative,SMS
1342,Active,2025-09-14,3678.0,17,240.79,Great bakery,Positive,WhatsApp
1343,Active,2025-09-30,6237.68,23,885.64,Helpful staff,Positive,Email
1344,Active,2025-10-21,3112.3,27,719.61,Fresh veggies,Positive,WhatsApp
1345,Active,2025-10-19,5827.73,27,1095.51,Helpful staff,Positive,WhatsApp
1346,Churned,2025-12-25,2327.52,38,723.72,Cashier rude,Negative,Email
1347,Active,2025-12-07,5912.58,1,1984.42,Great bakery,Positive,Email
