ClientID,Last_Purchase_Date,Total_Spend_MAD,Visit_Frequency,Preferred_Category,Avg_Basket_Size,Feedback,Preferred_Channel
1140,2026-01-05,875.8,10,Snacks,79.99,Too expensive,SMS
1141,2026-01-01,539.64,25,Snacks,94.06,No promotions,SMS
1142,2026-01-04,793.25,24,Snacks,79.09,Too expensive,SMS
1143,2025-12-29,406.75,24,Snacks,70.12,Too expensive,SMS
1144,2026-01-01,353.9,14,Snacks,97.88,Too expensive,SMS
1145,2026-01-02,253.52,10,Snacks,96.98,Too expensive,SMS
1146,2026-01-05,336.53,28,Snacks,57.29,No promotions,SMS
1147,2026-01-07,800.98,24,Snacks,56.59,Coupons failed,SMS
1148,2025-12-29,798.94,13,Snacks,62.0,Price increase,SMS
1149,2025-12-25,396.27,15,Snacks,75.07,Too expensive,SMS
1150,2025-12-25,713.76,24,Snacks,96.61,Too expensive,SMS
1151,2026-01-03,401.2,22,Snacks,61.79,Price increase,SMS
1152,2026-01-02,410.92,29,Snacks,59.99,Coupons failed,SMS
1153,2025-12-31,402.47,30,Snacks,95.62,No promotions,SMS
1154,2026-01-03,863.24,27,Snacks,85.51,No promotions,SMS
1155,2025-12-29,732.94,11,Snacks,62.84,No promotions,SMS
1156,2025-12-27,573.18,16,Snacks,65.11,No promotions,SMS
1157,2025-12-30,535.34,18,Snacks,74.03,No promotions,SMS
1158,2026-01-05,408.3,27,Snacks,51.05,Price increase,SMS
1159,2026-01-06,446.2,30,Snacks,80.6,Price increase,SMS
1160,2026-01-06,264.9,13,Snacks,73.19,Coupons failed,SMS
1161,2025-12-28,250.55,18,Snacks,68.74,No promotions,SMS
1162,2026-01-02,574.25,20,Snacks,85.33,Too expensive,SMS
1163,2025-12-28,228.26,23,Snacks,53.39,Too expensive,SMS
1164,2025-12-30,474.73,19,Snacks,65.69,No promotions,SMS
1165,2025-12-27,497.96,29,Snacks,69.37,Coupons failed,SMS
1166,2025-12-29,867.99,17,Snacks,61.55,Too expensive,SMS
1167,2025-12-26,446.8,28,Snacks,65.27,Too expensive,SMS
1168,2025-12-30,508.75,21,Snacks,60.49,Too expensive,SMS
1169,2025-12-29,353.46,16,Snacks,73.26,Price increase,SMS
1170,2026-01-04,475.99,18,Snacks,78.39,Too expensive,SMS
1171,2026-01-07,238.39,25,Snacks,67.31,Price increase,SMS
1172,2025-12-25,529.24,17,Snacks,96.44,No promotions,SMS
1173,2025-12-28,762.35,10,Snacks,54.07,Price increase,SMS
1174,2026-01-07,767.56,11,Snacks,51.16,Price increase,SMS
1175,2025-12-30,299.39,11,Snacks,97.73,No promotions,SMS
1176,2025-12-31,245.09,20,Snacks,58.96,Price increase,SMS
1177,2026-01-05,860.88,14,Snacks,91.19,Price increase,SMS
1178,2025-12-26,384.54,22,Snacks,61.76,Too expensive,SMS
1179,2025-12-28,230.03,15,Snacks,72.05,Too expensive,SMS
1180,2026-01-05,650.89,23,Snacks,89.36,Too expensive,SMS
1181,2025-12-27,841.8,13,Snacks,87.93,Coupons failed,SMS
1182,2026-01-04,450.39,16,Snacks,64.47,Coupons failed,SMS
1183,2025-12-29,577.8,13,Snacks,60.34,Coupons failed,SMS
1184,2025-12-26,216.68,20,Snacks,50.6,Too expensive,SMS
1185,2025-12-25,380.65,28,Snacks,97.34,Too expensive,SMS
1186,2026-01-04,472.46,21,Snacks,93.63,Coupons failed,SMS
1187,2025-12-28,372.75,28,Snacks,70.15,No promotions,SMS
1188,2026-01-06,791.79,28,Snacks,98.04,Price increase,SMS
1189,2025-12-30,544.84,12,Snacks,86.81,No promotions,SMS
1190,2026-01-02,842.09,29,Snacks,72.33,No promotions,SMS
1191,2026-01-01,749.53,18,Snacks,62.22,Price increase,SMS
1192,2025-12-26,761.01,18,Snacks,91.99,Price increase,SMS
1193,2026-01-05,770.14,12,Snacks,55.02,No promotions,SMS
1194,2026-01-03,856.36,13,Snacks,99.51,Coupons failed,SMS
1195,2026-01-07,330.15,12,Snacks,51.81,Coupons failed,SMS
1196,2026-01-03,251.92,18,Snacks,89.33,Too expensive,SMS
1197,2025-12-26,701.88,18,Snacks,69.7,Price increase,SMS
1198,2026-01-02,561.48,15,Snacks,67.75,Price increase,SMS
1199,2025-12-29,405.73,22,Snacks,63.79,Coupons failed,SMS
